Style,Item,"1 to 99","100 to 199","200+"
1709,"Flight Bomber Jacket",45.90,44.90,43.90
1859,"Non-Pill Fleece Front Zip Jacket",31.90,30.90,29.90
5019,"High Visibility Mesh Lined Utility Pants",37.90,36.90,35.90
5022,"High Visibility Poly-Cotton Jersey T-Shirt with Pocket",17.50,17.00,16.50
5023,"High Visibility Polyester Jersey T-Shirt with Pocket",17.50,17.00,16.50
5025,"High Visibility 3/4 Length Rain Jacket",59.90,58.90,57.90
5026,"High Visibility 2-IN-1 Polyester Fleece Jacket",43.90,42.90,41.90
5118,"High Visibility Poly-cotton Fleece Hooded Front Zip Jacket",41.90,40.90,39.90
5123,"High Visibility Mesh Vest",11.50,11.00,10.50
5126,"High Visibility Wicking Shirt with 4"" contrasting stripes",14.90,14.50,13.90
5219,"High Visibility Sweatshirt with 4"" contrasting stripes",34.90,33.90,32.90
5804,"High Visibility 2-in-1 3M Thinsulate Insulation Jacket",55.90,54.90,53.90
5807,"High Visibility Winter Parka Jacket",68.90,67.90,66.90
5831,"High Visibility Winter Bomber Jacket",60.90,59.90,58.90
5834,"High Visibility Polyester Wicking Shirt",14.50,14.00,13.50
5906,"High Visibilty 5 point Tear Away Vest",13.50,13.00,12.50
5909,"High Visibilty Spring Jacket",40.90,39.90,38.90
5912,"High Visibility Reversible Winter Jacket",82.90,81.90,80.90
5918,"High Visibility Poly-cotton Fleece Hooded Pullover",39.90,38.90,37.90
5921,"High Visibility Polyester Wicking Long Sleeve T-shirt",18.50,18.00,17.50
9103,"3-IN-1 Reflective Nylon Jacket",59.90,58.90,57.90
9557,"Utility Bomber Jacket",54.90,53.90,52.90
9560,"Utility Parka",59.90,58.90,57.90
51319,"High Visibility Polyester Wicking Polo Shirt",18.50,18.00,17.50
51422,"High Visibility Soft Shell jacket",46.90,45.90,44.90
51425,"HV 5 point tearaway Mesh vest with 4"" contrasting stripes",14.50,14.00,13.50
51428,"5 point tearaway Mesh vest with 4"" contrasting stripes",15.00,14.50,14.00
51526,"Level 1 Wicking T Shirt with 4"" contrasting stripes",15.00,14.50,14.00
51529,"High Visibility Reversible Fleece Lined Vest",37.90,36.90,35.90
51532,"Poly-Cotton Fleece Jacket with 4"" contrasting stripes",45.90,44.90,43.90
51535,"High Visibility Bomber Jacket with 4"" contrasting stripes",57.90,56.90,55.90
51538,"Heavy Poly-Cotton Winter Parka with 4"" contrasting stripes",69.90,68.90,67.90
51580,"Bomber Safety Jacket with 4"" contrasting stripes",57.90,56.90,55.90
51719,"Safety H.V. Utility Pants",34.90,33.90,32.90
51721,"H.V. Wicking Long sleeve T-shirt with 4"" Contrasting Stripes",18.50,18.00,17.50
51726,"Safety Wicking Long sleeve T-shirt with 4"" Contrasting Stripes",18.50,18.00,17.50
51729,"Thermal Inner Quilted Pants",31.90,30.90,29.90
51734,"Safety 100% Cotton Jersey T-shirt",16.00,15.50,15.00
51780,"Heavy Poly-Cotton Winter Bomber with 4"" Contrasting Stripes",64.90,63.90,62.90
51818,"H.V. Poly-cotton Hoodie Pullover with 4"" Contrasting Stripes",40.90,39.90,38.90
51821,"Safety 100% Cotton Jersey Long sleeve T-shirt",20.50,20.00,19.50
51832,"H.V. Poly-Cotton Fleece Jacket with 4"" contrasting stripes",45.90,44.90,43.90
51864,"Safety 100% Cotton Short Sleeve T-shirt with 4"" Contrasting Stripes",17.50,17.00,16.50
51867,"Safety 100% Cotton Long Sleeve T-shirt with 4"" contrasting Stripes",21.90,21.50,20.90
51973,"High Visibility Surveyor vest",26.90,26.50,25.90
51970,"High Visibility T-shirt with pocket and Ventilated Reflective Tapes",15.00,14.50,14.00
51979,"New High Visibility Reversible Puffer Jacket",55.90,54.90,53.90
52205,"High Visibility Poly-Cotton Short Sleeve T-Shirt with ID Pocket 4"" contrasting Stripes",17.50,17.00,16.50
52208,"High Visibility Poly-Cotton Long Sleeve T-Shirt with ID Pocket 4"" contrasting Stripes",19.50,19.00,18.50
91231,"Oxford Jacket with 3M Reflective Material",57.90,56.90,55.90
91234,"Breathable Soft Shell Fleece Jacket",42.90,41.90,40.90
91237,"3M Thinsulate Parka with 3M Reflective Hidden Stripes",71.90,70.90,69.90
5025-1859,"High Visibility 3-IN-1 Jacket w/ Black Fleece inner Jacket",91.80,89.80,87.80
5025-5026,"High Visibility 5-IN-1 Jacket w/ Fleece Inner Jacket",103.80,101.80,99.80
5025-5804,"High Visibility 5-IN-1 Jacket w/ Thinsulate Inner Jacket",115.80,113.80,111.80
5025-51422,"High Visibility 3-IN-1 Jacket w/ Soft Shell Inner Jacket",106.80,104.80,102.80
5025-51532,"High Visibility 3-IN-1 Jacket w/ Poly-cotton Fleece Inner Jacket",105.80,103.80,101.80
5025-51979,"High Visibility 3-IN-1 Jacket w/ H.V. Reversible Puffer Inner Jacket",115.80,113.80,111.80
5025-91234,"High Visibility 3-IN-1 Jacket with Soft Shell Inner Jacket",102.80,100.80,98.80
51535-1859,"High Visibility 3-IN-1 Jacket with Black Fleece Inner Jacket",89.80,87.80,85.80
